IRS_ID,IRS_ProductID,PM_GrossWeight,PM_MaxOffset,PM_MinOffset,IRS_PackSize,IRS_BatchID,IRS_PhysicalLocation,IRS_CompanyID,IRS_RandomNo,IRS_ParentRandomNo,BL_ExpDate,IRS_ToSCP,isExpired
512,1,2,0.1,0.1,,2,3,1,01010019M5XLTZ,,2033-07-23T13:00:00.000Z,,0
511,1,2,0.1,0.1,,2,3,1,0101001Q9J6CF7,,2033-07-23T13:00:00.000Z,,0
510,1,2,0.1,0.1,,2,3,1,0101001I319D2Z,,2033-07-23T13:00:00.000Z,,0
509,1,2,0.1,0.1,,2,3,1,0101001JHGD58R,,2033-07-23T13:00:00.000Z,,0
508,1,2,0.1,0.1,,2,3,1,0101001PGEJ488,,2033-07-23T13:00:00.000Z,,0
507,1,2,0.1,0.1,,2,3,1,0101001PO488LF,,2033-07-23T13:00:00.000Z,,0
506,1,2,0.1,0.1,,2,3,1,0101001HY5WT3X,,2033-07-23T13:00:00.000Z,,0
505,1,2,0.1,0.1,,2,3,1,01010018IWX31Y,,2033-07-23T13:00:00.000Z,,0
504,1,2,0.1,0.1,,2,3,1,01010017ZT18Q0,,2033-07-23T13:00:00.000Z,,0
503,1,2,0.1,0.1,,2,3,1,0101001D1CW2LU,,2033-07-23T13:00:00.000Z,,0
501,1,2,0.1,0.1,,2,3,1,0101001INYREW0,,2033-07-23T13:00:00.000Z,,0
500,1,2,0.1,0.1,,2,3,1,0101001AIZEGZF,,2033-07-23T13:00:00.000Z,,0
499,1,2,0.1,0.1,,2,3,1,01010015ESWREX,,2033-07-23T13:00:00.000Z,,0
498,1,2,0.1,0.1,,2,3,1,01010015TZI541,,2033-07-23T13:00:00.000Z,,0
496,1,2,0.1,0.1,,2,3,1,0101001EX0JSQQ,,2033-07-23T13:00:00.000Z,,0
495,1,2,0.1,0.1,,2,3,1,0101001S6NA9P5,,2033-07-23T13:00:00.000Z,,0
494,1,2,0.1,0.1,,2,3,1,0101001C3I9XG7,,2033-07-23T13:00:00.000Z,,0
493,1,2,0.1,0.1,,2,3,1,01010018NOP6CV,,2033-07-23T13:00:00.000Z,,0
492,1,2,0.1,0.1,,2,3,1,0101001OPZ65M8,,2033-07-23T13:00:00.000Z,,0
490,1,2,0.1,0.1,,2,3,1,0101001EKOBPD2,,2033-07-23T13:00:00.000Z,,0
489,1,2,0.1,0.1,,2,3,1,0101001MSZ3191,,2033-07-23T13:00:00.000Z,,0
488,1,2,0.1,0.1,,2,3,1,0101001QQX6R51,,2033-07-23T13:00:00.000Z,,0
487,1,2,0.1,0.1,,2,3,1,0101001V5JHPHD,,2033-07-23T13:00:00.000Z,,0
486,1,2,0.1,0.1,,2,3,1,0101001IFBMTQH,,2033-07-23T13:00:00.000Z,,0
485,1,2,0.1,0.1,,2,3,1,0101001W2SAHB9,,2033-07-23T13:00:00.000Z,,0
484,1,2,0.1,0.1,,2,3,1,0101001LXID3RU,,2033-07-23T13:00:00.000Z,,0
483,1,2,0.1,0.1,,2,3,1,0101001711KCCK,,2033-07-23T13:00:00.000Z,,0
482,1,2,0.1,0.1,,2,3,1,0101001N382LHW,,2033-07-23T13:00:00.000Z,,0
480,1,2,0.1,0.1,,2,3,1,0101001YZAFO98,,2033-07-23T13:00:00.000Z,,0
479,1,2,0.1,0.1,,2,3,1,0101001EN1TFE5,,2033-07-23T13:00:00.000Z,,0
476,1,2,0.1,0.1,,2,3,1,01010014PQ8QSP,,2033-07-23T13:00:00.000Z,,0
475,1,2,0.1,0.1,,2,3,1,0101001TY8111H,,2033-07-23T13:00:00.000Z,,0
474,1,2,0.1,0.1,,2,3,1,0101001PMAQMFP,,2033-07-23T13:00:00.000Z,,0
473,1,2,0.1,0.1,,2,3,1,0101001FI75YJF,,2033-07-23T13:00:00.000Z,,0
472,1,2,0.1,0.1,,2,3,1,01010016HDYQ56,,2033-07-23T13:00:00.000Z,,0
471,1,2,0.1,0.1,,2,3,1,0101001PCVIWUE,,2033-07-23T13:00:00.000Z,,0
470,1,2,0.1,0.1,,2,3,1,0101001RMJ7F60,,2033-07-23T13:00:00.000Z,,0
469,1,2,0.1,0.1,,2,3,1,010100197JVNC1,,2033-07-23T13:00:00.000Z,,0
468,1,2,0.1,0.1,,2,3,1,0101001IB8TPCR,,2033-07-23T13:00:00.000Z,,0
467,1,2,0.1,0.1,,2,3,1,01010015LEVANG,,2033-07-23T13:00:00.000Z,,0
466,1,2,0.1,0.1,,2,3,1,0101001UZN56WP,,2033-07-23T13:00:00.000Z,,0
465,1,2,0.1,0.1,,2,3,1,0101001Z56VB11,,2033-07-23T13:00:00.000Z,,0
